Order_Priority,Order_Quantity,Sales,Ship_Mode,Profit,Customer_Name,Region,Customer_Segment,Product_Category,Product_Sub-Category,Product_Container,Target
Critical,4,73.07,Regular Air,-41.01,Jamie Kunitz,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Small Box,0
Medium,7,108.26,Regular Air,25.51,Kristina Nunn,West,Consumer,Office Supplies,Envelopes,Small Box,1
Low,22,446.46,Regular Air,-1.88,Justin Knight,West,Corporate,Technology,Computer Peripherals,Small Box,0
Medium,19,128.21,Regular Air,-55.13,Bryan Davis,Northwest Territories,Corporate,Office Supplies,Paper,Small Box,0
Critical,24,60.36,Regular Air,-119.62,Susan Vittorini,Atlantic,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,31,639.19,Regular Air,274.9,Hilary Holden,Atlantic,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
High,12,1323.67,Express Air,630.28,Beth Thompson,Northwest Territories,Corporate,Furniture,Office Furnishings,Medium Box,1
Critical,38,260.41,Express Air,-45.75,Ricardo Emerson,West,Corporate,Office Supplies,Paper,Small Box,0
Medium,7,263.8,Regular Air,165.33,Shahid Shariari,West,Corporate,Furniture,Office Furnishings,Small Box,1
High,29,20872.16,Regular Air,-4437.91,Roy Skaria,West,Corporate,Technology,Copiers and Fax,Large Box,0
Not Specified,2,103.105,Regular Air,-316.32,Ralph Kennedy,West,Corporate,Technology,Telephones and Communication,Small Box,0
Critical,39,1105.66,Regular Air,-136.2,Gene Hale,West,Consumer,Office Supplies,Storage & Organization,Medium Box,0
Not Specified,45,529.28,Express Air,-30.27,Brad Eason,Ontario,Small Business,Office Supplies,Storage & Organization,Small Box,0
Medium,11,74.02,Regular Air,-28.45,Lycoris Saunders,Ontario,Corporate,Office Supplies,Paper,Small Box,0
Critical,7,1874.37,Regular Air,67.84,Brian Moss,West,Corporate,Furniture,Chairs & Chairmats,Large Box,1
Low,24,114.17,Regular Air,-80.05,Brian Moss,Prarie,Corporate,Office Supplies,Appliances,Small Box,0
High,25,67.45,Regular Air,24.28,Lisa DeCherney,West,Corporate,Office Supplies,Labels,Small Box,1
High,2,30.83,Express Air,7.27,Alan Barnes,Northwest Territories,Corporate,Office Supplies,Envelopes,Small Box,1
High,1,3672.89,Regular Air,-3061.82,Erica Bern,Atlantic,Corporate,Technology,Copiers and Fax,Large Box,0
Low,2,13.3,Regular Air,-7.86,Sonia Sunley,West,Corporate,Office Supplies,Labels,Small Box,0
Medium,29,862.2,Regular Air,-45.1,Alan Barnes,Northwest Territories,Corporate,Technology,Computer Peripherals,Small Box,0
Not Specified,47,672.46,Regular Air,279.74,Erica Bern,Atlantic,Corporate,Office Supplies,Envelopes,Small Box,1
Low,6,826.9735,Regular Air,-413.33,Grant Carroll,Northwest Territories,Corporate,Technology,Telephones and Communication,Small Box,0
Not Specified,9,1288.515,Express Air,-382.57,Justin Hirsh,Atlantic,Consumer,Technology,Telephones and Communication,Small Box,0
High,35,3389.93,Express Air,737.94,Beth Paige,Northwest Territories,Consumer,Furniture,Office Furnishings,Large Box,1
Low,48,293.3,Express Air,-193.48,Evan Minnotte,Atlantic,Corporate,Office Supplies,Paper,Small Box,0
High,36,9544.18,Express Air,3392.88,Ralph Kennedy,West,Corporate,Technology,Computer Peripherals,Small Box,1
High,25,945.36,Regular Air,219.85,Joseph Airdo,Ontario,Consumer,Office Supplies,Envelopes,Small Box,1
Critical,31,1295.54,Regular Air,214.23,Kristina Nunn,Atlantic,Consumer,Office Supplies,Paper,Small Box,1
Low,14,84.09,Regular Air,-73.14,Sally Knutson,West,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
High,5,324.55,Regular Air,-12.82,Alan Barnes,Northwest Territories,Corporate,Office Supplies,Appliances,Small Box,0
Medium,44,6040.22,Regular Air,-942.5,Charles McCrossin,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Large Box,0
Not Specified,32,1974.66,Express Air,-929.68,Adam Bellavance,Ontario,Small Business,Office Supplies,Storage & Organization,Large Box,0
Critical,40,2405.4575,Regular Air,571.54,Rob Dowd,West,Corporate,Technology,Telephones and Communication,Small Box,1
High,5,24.16,Express Air,8.05,Beth Paige,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,1
Low,24,1318.8685,Regular Air,172.33,Bill Donatelli,Ontario,Corporate,Technology,Telephones and Communication,Small Box,1
Critical,37,1601.24,Regular Air,520.69,Jeremy Lonsdale,Northwest Territories,Corporate,Office Supplies,Appliances,Medium Box,1
Low,21,1049.79,Regular Air,135.79,Becky Castell,Northwest Territories,Consumer,Furniture,Office Furnishings,Small Box,1
High,21,2781.82,Express Air,-695.26,Monica Federle,Nunavut,Corporate,Office Supplies,Storage & Organization,Large Box,0
Low,4,31.01,Regular Air,-4.49,Justin Knight,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,17,124.06,Regular Air,15.74,Nathan Mautz,Prarie,Corporate,Office Supplies,Envelopes,Small Box,1
Low,25,2529.396,Express Air,371.21,Thomas Brumley,West,Consumer,Technology,Telephones and Communication,Small Box,1
Medium,37,5610.84,Regular Air,2366.51,Charles Sheldon,Atlantic,Corporate,Technology,Office Machines,Medium Box,1
High,41,8387.1,Regular Air,2113.95,Jeremy Lonsdale,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,Large Box,1
Critical,9,206.04,Regular Air,-49.81,Khloe Miller,West,Corporate,Furniture,Office Furnishings,Small Box,0
Medium,9,3800.4,Express Air,1234.57,Angele Hood,West,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,1
Not Specified,45,440.39,Regular Air,186.64,Guy Armstrong,Atlantic,Corporate,Office Supplies,Envelopes,Small Box,1
Critical,42,460.2,Regular Air,-214.39,Hilary Holden,Prarie,Corporate,Office Supplies,Paper,Small Box,0
Not Specified,27,2780.88,Express Air,595.38,Tony Chapman,West,Consumer,Furniture,Office Furnishings,Large Box,1
Critical,48,207.08,Regular Air,-131.82,Dorothy Wardle,Northwest Territories,Corporate,Office Supplies,Paper,Small Box,0
Low,22,43.97,Regular Air,-9.05,Shahid Shariari,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Low,40,4538.66,Regular Air,506.86,Sonia Sunley,West,Corporate,Office Supplies,Storage & Organization,Small Box,1
Medium,10,28.81,Regular Air,7.15,Dan Reichenbach,Atlantic,Corporate,Office Supplies,Labels,Small Box,1
Medium,32,4941.7725,Regular Air,704.89,Mark Cousins,Prarie,Corporate,Technology,Telephones and Communication,Small Box,1
Medium,3,8.6,Regular Air,-2.03,Joseph Airdo,Ontario,Consumer,Office Supplies,Labels,Small Box,0
Medium,5,185.79,Regular Air,-159.68,Bill Eplett,Ontario,Corporate,Technology,Computer Peripherals,Small Box,0
High,15,217.66,Express Air,-24.91,Art Ferguson,Atlantic,Corporate,Office Supplies,Appliances,Medium Box,0
High,24,2298.32,Regular Air,218.72,Dorothy Wardle,Northwest Territories,Corporate,Technology,Computer Peripherals,Small Box,1
High,44,10087.6,Regular Air,3387.35,Grant Carroll,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,Large Box,1
High,37,241.14,Regular Air,-120.08,Hilary Holden,Atlantic,Corporate,Office Supplies,Paper,Small Box,0
High,19,120.56,Regular Air,-79.35,Frank Atkinson,Atlantic,Corporate,Office Supplies,Paper,Small Box,0
Low,13,64.46,Regular Air,25.16,John Castell,West,Consumer,Office Supplies,Labels,Small Box,1
High,3,441.43,Regular Air,-154.45,Shahid Shariari,West,Corporate,Furniture,Chairs & Chairmats,Large Box,0
High,48,446.53,Express Air,-261.45,Rob Dowd,West,Corporate,Furniture,Office Furnishings,Large Box,0
High,3,21.64,Regular Air,-13.33,Marina Lichtenstein,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Low,27,1541.781,Regular Air,14.35,Marina Lichtenstein,West,Corporate,Technology,Telephones and Communication,Medium Box,1
High,4,62.45,Regular Air,-141.76,Jack Lebron,Atlantic,Corporate,Office Supplies,Appliances,Large Box,0
Low,18,2480.9205,Regular Air,313.58,Jim Radford,Nunavut,Corporate,Technology,Telephones and Communication,Small Box,1
Low,34,676.26,Regular Air,181.98,Brad Norvell,Atlantic,Corporate,Office Supplies,Paper,Small Box,1
Medium,36,1936.3,Regular Air,278.12,Sylvia Foulston,Atlantic,Corporate,Office Supplies,Appliances,Small Box,1
Low,15,67.41,Regular Air,-49.6,Greg Guthrie,Atlantic,Corporate,Furniture,Office Furnishings,Small Box,0
Not Specified,7,131.55,Regular Air,-43.74,Justin Hirsh,Atlantic,Consumer,Technology,Office Machines,Medium Box,0
High,42,266.36,Regular Air,-191.28,Beth Paige,Northwest Territories,Consumer,Office Supplies,Paper,Small Box,0
High,11,80.26,Regular Air,-22.55,Anthony O'Donnell,West,Corporate,Office Supplies,Paper,Small Box,0
Medium,29,1194.96,Regular Air,107.45,Tony Chapman,West,Consumer,Technology,Computer Peripherals,Small Box,1
Not Specified,42,7143.927,Express Air,2374.73,Matt Abelman,Atlantic,Home Office,Technology,Telephones and Communication,Small Box,1
Low,50,8289.51,Regular Air,3051.62,Justin Knight,West,Corporate,Office Supplies,Storage & Organization,Small Box,1
Not Specified,46,3197.45,Regular Air,97.16,Sonia Sunley,West,Corporate,Technology,Computer Peripherals,Small Box,1
Critical,27,899.97,Express Air,-246.3,Julia West,Northwest Territories,Consumer,Furniture,Office Furnishings,Small Box,0
Low,19,195.96,Regular Air,-104.82,Giulietta Weimer,West,Corporate,Technology,Computer Peripherals,Small Box,0
Medium,2,42.31,Regular Air,-53.08,Alan Barnes,Northwest Territories,Corporate,Technology,Office Machines,Medium Box,0
Not Specified,6,232.21,Regular Air,-14.03,Sarah Jordon,West,Consumer,Office Supplies,Envelopes,Small Box,0
Not Specified,19,82.43,Regular Air,-94.76,Sally Knutson,West,Corporate,Office Supplies,Appliances,Small Box,0
High,44,185.32,Regular Air,-192.56,Giulietta Weimer,Atlantic,Corporate,Furniture,Office Furnishings,Small Box,0
High,47,1060.0605,Regular Air,-71.03,Sylvia Foulston,Northwest Territories,Corporate,Technology,Telephones and Communication,Medium Box,0
Medium,45,253.89,Regular Air,-83.66,Liz Price,West,Consumer,Office Supplies,Envelopes,Small Box,0
High,30,4965.7595,Regular Air,1198.97,Clay Rozendal,Nunavut,Corporate,Technology,Telephones and Communication,Small Box,1
Critical,20,963.3,Express Air,367.12,Cari Schnelling,Atlantic,Small Business,Office Supplies,Paper,Small Box,1
Low,18,130.32,Express Air,-67.28,Grant Carroll,Nunavut,Corporate,Office Supplies,Paper,Small Box,0
Medium,40,933.21,Regular Air,207.18,Guy Thornton,Prarie,Corporate,Furniture,Office Furnishings,Small Box,1
Not Specified,5,101.21,Express Air,2.13,Joy Bell,Northwest Territories,Home Office,Office Supplies,Paper,Small Box,1
Low,24,1350.531,Regular Air,221.18,Don Jones,Northwest Territories,Corporate,Technology,Telephones and Communication,Small Box,1
Critical,42,364.8,Regular Air,149.45,Brad Norvell,Prarie,Corporate,Office Supplies,Envelopes,Small Box,1
Not Specified,42,121.65,Regular Air,30.76,Ralph Kennedy,West,Corporate,Office Supplies,Labels,Small Box,1
High,8,1219.19,Regular Air,44.37,Carlos Daly,Northwest Territories,Corporate,Technology,Office Machines,Medium Box,1
Not Specified,29,593.32,Regular Air,28.99,Mike Pelletier,Northwest Territories,Corporate,Technology,Computer Peripherals,Small Box,1
Critical,4,198.72,Express Air,-34.43,Khloe Miller,West,Consumer,Furniture,Office Furnishings,Large Box,0
Critical,16,108.42,Regular Air,-50.82,Clay Rozendal,Northwest Territories,Corporate,Office Supplies,Paper,Small Box,0
Low,46,411.56,Express Air,-188.02,Christina Vanderzanden,Ontario,Small Business,Office Supplies,Storage & Organization,Small Box,0
High,29,374.67,Express Air,30.63,Noah Childs,Prarie,Home Office,Office Supplies,Paper,Small Box,1
High,49,8223.07,Express Air,2549.4,Jim Sink,Atlantic,Corporate,Technology,Telephones and Communication,Small Box,1
Not Specified,25,237.36,Regular Air,-117.86,Theone Pippenger,Prarie,Corporate,Office Supplies,Paper,Small Box,0
Not Specified,9,182.26,Regular Air,60.61,Ricardo Emerson,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Not Specified,25,802.19,Regular Air,56.26,Carl Ludwig,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Small Box,1
Medium,1,104.85,Regular Air,-98.31,Mike Pelletier,Northwest Territories,Corporate,Furniture,Office Furnishings,Medium Box,0
Critical,17,477.5045,Regular Air,-245.56,Alex Avila,West,Corporate,Technology,Telephones and Communication,Small Box,0
Low,37,102.46,Regular Air,36.64,Sally Knutson,West,Corporate,Office Supplies,Labels,Small Box,1
Not Specified,31,2645.8,Regular Air,-684.78,Dana Kaydos,Prarie,Corporate,Office Supplies,Storage & Organization,Large Box,0
Critical,12,76.61,Regular Air,-31.83,Greg Guthrie,Atlantic,Corporate,Furniture,Office Furnishings,Small Box,0
High,5,15.38,Regular Air,1.61,Gene Hale,West,Consumer,Office Supplies,Labels,Small Box,1
Not Specified,39,335.35,Regular Air,-134.97,Joel Jenkins,Prarie,Corporate,Office Supplies,Envelopes,Small Box,0
Medium,49,2692.6895,Regular Air,768.32,Kristina Nunn,West,Consumer,Technology,Telephones and Communication,Small Box,1
Low,17,691.59,Regular Air,261.24,Charles McCrossin,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Medium,32,303.59,Regular Air,-45.99,Liz MacKendrick,Ontario,Corporate,Furniture,Office Furnishings,Small Box,0
Low,12,47.79,Regular Air,-57.75,Justin Knight,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Medium,21,7512.03,Express Air,2017.64,Joseph Airdo,Ontario,Corporate,Office Supplies,Appliances,Small Box,1
High,7,1158.26,Regular Air,170.08,Erica Bern,Atlantic,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Critical,26,208.6,Regular Air,-56.45,Julia West,Atlantic,Consumer,Furniture,Office Furnishings,Small Box,0
Medium,36,191.6,Regular Air,-150.74,Liz MacKendrick,Ontario,Corporate,Office Supplies,Paper,Small Box,0
High,27,63.71,Regular Air,-96.03,Chad Sievert,Atlantic,Corporate,Furniture,Office Furnishings,Small Box,0
Medium,30,176.15,Regular Air,-125.36,Philip Brown,Atlantic,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
High,34,365.77,Regular Air,155.69,Dorothy Wardle,Northwest Territories,Corporate,Office Supplies,Envelopes,Small Box,1
Not Specified,40,19109.61,Express Air,-379.29,Sanjit Chand,West,Home Office,Technology,Copiers and Fax,Large Box,0
High,27,244.57,Regular Air,46.71,Barry French,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,1
Medium,25,453.2455,Regular Air,3.31,Roy Skaria,West,Corporate,Technology,Telephones and Communication,Medium Box,1
Medium,44,1190.8,Regular Air,502.49,Lela Donovan,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Critical,33,195.98,Regular Air,-71.47,Lela Donovan,West,Corporate,Office Supplies,Paper,Small Box,0
Low,16,347.47,Regular Air,-86.2,Hunter Glantz,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,19,3093.864,Regular Air,286.4,Ken Heidel,West,Corporate,Technology,Telephones and Communication,Small Box,1
Not Specified,20,205.33,Regular Air,10.68,Jamie Kunitz,Northwest Territories,Corporate,Furniture,Office Furnishings,Medium Box,1
Critical,17,86.47,Regular Air,-9.35,Chad Sievert,Atlantic,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Low,38,2157.3085,Regular Air,519.25,Alan Barnes,Northwest Territories,Corporate,Technology,Telephones and Communication,Small Box,1
Critical,25,509.52,Regular Air,-145.78,Dorothy Wardle,Northwest Territories,Corporate,Technology,Computer Peripherals,Small Box,0
Not Specified,40,6789.9275,Regular Air,1864.66,Ralph Knight,Northwest Territories,Consumer,Technology,Telephones and Communication,Small Box,1
Critical,4,103.9,Express Air,-19.26,Khloe Miller,Atlantic,Home Office,Furniture,Office Furnishings,Small Box,0
Critical,40,1477.39,Regular Air,641.4,Rob Dowd,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
High,50,281.39,Regular Air,-106.4,Edward Hooks,Northwest Territories,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
High,16,118.38,Regular Air,-42.46,Shahid Shariari,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,27,384.9,Express Air,-108.28,Matt Collins,West,Consumer,Office Supplies,Storage & Organization,Small Box,0
Critical,7,387.17,Regular Air,-204.65,Doug Bickford,Northwest Territories,Corporate,Technology,Computer Peripherals,Small Box,0
High,23,6693.28,Regular Air,40.32,Jack Lebron,Atlantic,Corporate,Furniture,Tables,Large Box,1
High,31,615.58,Regular Air,168.0,Jeremy Lonsdale,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Not Specified,34,6607.92,Regular Air,1462.72,Lela Donovan,West,Corporate,Technology,Copiers and Fax,Large Box,1
Not Specified,16,1684.96,Regular Air,-553.06,Ivan Liston,Atlantic,Consumer,Office Supplies,Storage & Organization,Large Box,0
Low,39,197.11,Regular Air,-89.42,Brian Moss,Prarie,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,10,152.84,Regular Air,38.02,Luke Weiss,West,Corporate,Furniture,Office Furnishings,Small Box,1
Critical,19,3548.67,Regular Air,1280.19,Grant Carroll,Northwest Territories,Corporate,Office Supplies,Appliances,Small Box,1
High,20,794.32,Regular Air,67.61,Mary Zewe,Prarie,Corporate,Office Supplies,Paper,Small Box,1
High,34,1608.08,Express Air,-82.16,Grant Carroll,Northwest Territories,Corporate,Technology,Computer Peripherals,Small Box,0
Critical,16,225.46,Regular Air,-33.03,Guy Armstrong,Prarie,Corporate,Technology,Office Machines,Medium Box,0
Low,42,433.68,Regular Air,44.1,Guy Armstrong,Atlantic,Corporate,Office Supplies,Envelopes,Small Box,1
Critical,19,146.63,Express Air,-30.06,Gene Hale,Atlantic,Consumer,Office Supplies,Paper,Small Box,0
Critical,42,906.64,Express Air,-148.93,Bill Donatelli,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,6,90.75,Regular Air,-26.39,Bruce Stewart,Ontario,Corporate,Furniture,Office Furnishings,Large Box,0
Critical,8,27663.92,Regular Air,-391.92,Tony Chapman,West,Consumer,Technology,Copiers and Fax,Large Box,0
Low,21,1222.68,Express Air,300.97,Anthony O'Donnell,West,Consumer,Office Supplies,Appliances,Small Box,1
High,31,127.9,Regular Air,54.21,Hunter Lopez,West,Consumer,Office Supplies,Labels,Small Box,1
Not Specified,30,251.11,Regular Air,10.04,Bobby Odegard,Ontario,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,1
Low,10,64.13,Regular Air,-28.97,Mike Kennedy,Prarie,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,36,283.21,Regular Air,-196.06,Brendan Dodson,Atlantic,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
High,29,2754.93,Regular Air,-1.33,Jamie Kunitz,Northwest Territories,Corporate,Furniture,Office Furnishings,Medium Box,0
Not Specified,7,497.2,Regular Air,-219.61,Justin Hirsh,West,Consumer,Office Supplies,Appliances,Large Box,0
Critical,24,990.1,Regular Air,310.22,Sean O'Donnell,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Low,24,4010.9375,Express Air,630.7,Jennifer Braxton,Atlantic,Small Business,Technology,Telephones and Communication,Small Box,1
Medium,46,4804.0385,Regular Air,1077.92,Guy Thornton,Ontario,Corporate,Technology,Telephones and Communication,Small Box,1
Low,17,118.36,Express Air,-60.65,Alex Avila,West,Home Office,Office Supplies,Paper,Small Box,0
Not Specified,26,626.07,Express Air,185.32,Mike Pelletier,Northwest Territories,Corporate,Office Supplies,Envelopes,Small Box,1
Not Specified,37,740.14,Regular Air,29.73,Cathy Armstrong,West,Consumer,Furniture,Office Furnishings,Small Box,1
Medium,6,9620.82,Regular Air,-1759.58,Barry Weirich,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Medium Box,0
Low,15,1519.9,Regular Air,399.37,Doug Bickford,Northwest Territories,Corporate,Furniture,Office Furnishings,Large Box,1
Low,42,1681.6,Regular Air,167.37,Erica Bern,Atlantic,Corporate,Technology,Computer Peripherals,Small Box,1
Medium,39,5250.6625,Regular Air,930.99,Christopher Schild,Atlantic,Corporate,Technology,Telephones and Communication,Small Box,1
Not Specified,8,300.2,Regular Air,6.41,Frank Price,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Small Box,1
Not Specified,6,323.53,Regular Air,136.32,Roy Skaria,West,Corporate,Furniture,Office Furnishings,Small Box,1
Not Specified,9,64.0305,Regular Air,-58.34,Becky Castell,Northwest Territories,Consumer,Technology,Telephones and Communication,Medium Box,0
Critical,25,185.64,Regular Air,-69.87,Meg O'Connel,Prarie,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
High,7,384.33,Regular Air,87.68,Ann Chong,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Not Specified,16,178.4,Regular Air,20.08,Chuck Magee,Atlantic,Corporate,Furniture,Office Furnishings,Small Box,1
Not Specified,23,275.16,Express Air,43.35,Muhammed MacIntyre,Northwest Territories,Small Business,Office Supplies,Paper,Small Box,1
Not Specified,15,436.05,Regular Air,-92.58,Ann Chong,Northwest Territories,Corporate,Technology,Computer Peripherals,Small Box,0
Medium,16,189.04,Regular Air,-74.77,Michael Granlund,Atlantic,Corporate,Office Supplies,Storage & Organization,Small Box,0
Critical,8,327.61,Regular Air,54.9,Evan Minnotte,Atlantic,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Medium,16,2631.107,Regular Air,297.11,Jim Radford,Northwest Territories,Corporate,Technology,Telephones and Communication,Medium Box,1
High,11,2021.147,Regular Air,-60.39,Matt Collins,West,Consumer,Technology,Telephones and Communication,Small Box,0
High,21,524.2,Regular Air,158.98,Susan Vittorini,Northwest Territories,Corporate,Office Supplies,Envelopes,Small Box,1
Low,32,2593.08,Express Air,-673.31,Thomas Brumley,West,Consumer,Furniture,Office Furnishings,Medium Box,0
High,6,49.55,Express Air,-20.33,Anna Andreadi,West,Small Business,Office Supplies,Paper,Small Box,0
Critical,19,77.57,Regular Air,-67.49,Bart Watters,Prarie,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,34,245.4,Regular Air,-87.27,Greg Guthrie,Prarie,Corporate,Office Supplies,Paper,Small Box,0
High,50,8221.2935,Regular Air,2342.21,Erica Bern,Atlantic,Corporate,Technology,Telephones and Communication,Small Box,1
High,36,170.42,Regular Air,-98.31,Sonia Sunley,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,30,201.09,Regular Air,-56.22,Dana Kaydos,West,Corporate,Office Supplies,Paper,Small Box,0
Critical,42,493.56,Regular Air,12.73,Justin Hirsh,Atlantic,Consumer,Technology,Office Machines,Medium Box,1
Medium,5,36.86,Regular Air,-32.82,Hunter Glantz,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
High,43,154.18,Regular Air,-166.92,Susan Vittorini,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,38,783.96,Regular Air,-1195.29,Guy Armstrong,Prarie,Corporate,Office Supplies,Storage & Organization,Large Box,0
Medium,7,23.84,Regular Air,5.88,Bill Donatelli,Ontario,Corporate,Office Supplies,Labels,Small Box,1
Medium,23,144.55,Regular Air,-60.17,Sarah Bern,Atlantic,Corporate,Office Supplies,Paper,Small Box,0
High,48,224.58,Regular Air,-144.76,Dorothy Wardle,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Low,8,254.32,Regular Air,-117.39,Charles Sheldon,Prarie,Corporate,Technology,Computer Peripherals,Small Box,0
Low,20,310.31,Regular Air,51.5,Lela Donovan,West,Corporate,Furniture,Office Furnishings,Small Box,1
Not Specified,36,407.17,Regular Air,-12.82,Art Ferguson,Prarie,Corporate,Office Supplies,Envelopes,Small Box,0
High,29,5010.7415,Express Air,1196.37,Matt Collins,West,Consumer,Technology,Telephones and Communication,Small Box,1
Low,42,187.28,Regular Air,-94.36,Sonia Sunley,West,Corporate,Office Supplies,Paper,Small Box,0
Low,13,735.54,Regular Air,171.82,Ralph Knight,Northwest Territories,Consumer,Office Supplies,Paper,Small Box,1
Not Specified,39,403.73,Regular Air,-44.13,Sally Knutson,Atlantic,Consumer,Office Supplies,Appliances,Small Box,0
High,15,113.5,Regular Air,-46.35,Liz Thompson,Prarie,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Low,36,7783.36,Express Air,3506.24,Joy Smith,Atlantic,Consumer,Office Supplies,Appliances,Medium Box,1
High,7,127.74,Express Air,-5.57,Steve Carroll,Atlantic,Consumer,Technology,Computer Peripherals,Small Box,0
Low,42,2149.37,Regular Air,217.87,Charles Sheldon,Prarie,Corporate,Furniture,Office Furnishings,Small Box,1
Medium,15,572.4325,Regular Air,-19.44,Joy Smith,Atlantic,Corporate,Technology,Telephones and Communication,Small Box,0
High,20,100.11,Regular Air,-41.7,Sally Knutson,West,Consumer,Office Supplies,Paper,Small Box,0
Medium,14,782.4505,Regular Air,-11.4,Joy Smith,Atlantic,Consumer,Technology,Telephones and Communication,Small Box,0
Low,2,19.0,Regular Air,-10.73,Justin Knight,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,32,9235.97,Regular Air,2848.17,Lela Donovan,West,Corporate,Office Supplies,Appliances,Large Box,1
Low,44,210.46,Express Air,50.04,Liz Price,Atlantic,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,1
Medium,50,690.97,Regular Air,-16.94,Mark Cousins,West,Corporate,Furniture,Office Furnishings,Small Box,0
Low,26,3758.77,Regular Air,753.61,Sylvia Foulston,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,Large Box,1
Low,18,881.32,Regular Air,373.67,David Philippe,Atlantic,Consumer,Office Supplies,Paper,Small Box,1
Medium,16,2232.66,Express Air,-521.09,Kelly Williams,West,Corporate,Technology,Computer Peripherals,Small Box,0
Medium,26,4688.9485,Regular Air,1215.44,Michelle Lonsdale,Northwest Territories,Corporate,Technology,Telephones and Communication,Small Box,1
Medium,3,1326.09,Regular Air,-20.55,Shahid Shariari,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,4,97.57,Regular Air,-27.31,Cindy Schnelling,Northwest Territories,Corporate,Furniture,Office Furnishings,Large Box,0
Medium,8,16.47,Regular Air,-6.82,Mark Cousins,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Low,39,679.95,Regular Air,-93.3,Mike Kennedy,West,Corporate,Office Supplies,Pens & Art Supplies,Small Box,0
Medium,9,43.26,Regular Air,3.9,Justin Hirsh,West,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,1
Low,16,4901.99,Regular Air,1724.68,Ralph Kennedy,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Medium,38,154.85,Regular Air,-136.55,Mark Cousins,Prarie,Corporate,Office Supplies,Appliances,Small Box,0
High,2,51.21,Regular Air,-27.53,Beth Thompson,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Medium,8,127.8,Regular Air,-30.48,Alan Barnes,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Small Box,0
Low,44,1579.56,Regular Air,699.64,Mike Kennedy,West,Corporate,Office Supplies,Paper,Small Box,1
Low,36,1423.35,Regular Air,-580.32,Christopher Schild,Atlantic,Corporate,Technology,Computer Peripherals,Small Box,0
